Country,Type,Year,AverageTemperature,TemperatureDifference,AverageTemperatureUncertainty,BaseTemperature
Zimbabwe,C,1976,20.691000000000003,-0.13523333333333198,0.23666666666666666,20.826233333333334
Zimbabwe,C,1977,21.405,0.5787666666666667,0.2316666666666667,20.826233333333334
Zimbabwe,C,1978,20.924666666666667,0.09843333333333248,0.2113333333333333,20.826233333333334
Zimbabwe,C,1969,21.345333333333333,0.5190999999999981,0.22291666666666665,20.826233333333334
Zimbabwe,C,1980,21.128833333333336,0.30260000000000176,0.21566666666666667,20.826233333333334
Zimbabwe,C,1982,21.574916666666667,0.7486833333333323,0.25549999999999995,20.826233333333334
Zimbabwe,C,1983,22.367166666666662,1.540933333333328,0.24808333333333335,20.826233333333334
Zimbabwe,C,1984,21.714583333333337,0.8883500000000026,0.1950833333333333,20.826233333333334
Zimbabwe,C,1985,21.198083333333333,0.37184999999999846,0.23291666666666663,20.826233333333334
Zimbabwe,C,1986,21.2005,0.3742666666666672,0.2901666666666667,20.826233333333334
Zimbabwe,C,1987,22.3235,1.4972666666666647,0.22966666666666666,20.826233333333334
Zimbabwe,C,1988,21.483,0.656766666666666,0.21125000000000002,20.826233333333334
Zimbabwe,C,1981,20.804166666666667,-0.022066666666667345,0.24866666666666667,20.826233333333334
Zambia,C,1950,20.847666666666665,-0.15559166666666258,0.28824999999999995,21.003258333333328
Zambia,C,1953,21.26275,0.25949166666667267,0.26691666666666664,21.003258333333328
Zambia,C,1952,21.522750000000002,0.5194916666666742,0.27075,21.003258333333328
Zambia,C,1951,21.294166666666666,0.29090833333333777,0.28483333333333327,21.003258333333328
Zambia,C,1946,21.326166666666662,0.32290833333333424,0.29083333333333333,21.003258333333328
Zambia,C,1949,21.684583333333336,0.6813250000000082,0.40933333333333327,21.003258333333328
Zambia,C,1948,21.24641666666667,0.2431583333333407,0.25991666666666663,21.003258333333328
Zambia,C,1947,21.382250000000003,0.37899166666667483,0.22633333333333336,21.003258333333328
Zambia,C,1955,21.217833333333335,0.21457500000000707,0.27999999999999997,21.003258333333328
Zambia,C,1954,21.298999999999996,0.2957416666666681,0.31633333333333336,21.003258333333328
Zambia,C,1960,21.40008333333333,0.3968250000000033,0.34900000000000003,21.003258333333328
Zambia,C,1956,20.918166666666668,-0.0850916666666599,0.29450000000000004,21.003258333333328
Zambia,C,1957,21.658083333333334,0.654825000000006,0.4314166666666667,21.003258333333328
Zambia,C,1958,21.535166666666665,0.5319083333333374,0.36375,21.003258333333328
Zambia,C,1959,21.70325,0.6999916666666728,0.3255833333333333,21.003258333333328
Zambia,C,1961,21.541166666666665,0.5379083333333377,0.22108333333333333,21.003258333333328
Zambia,C,1962,21.26666666666667,0.26340833333334146,0.2799166666666667,21.003258333333328
Zambia,C,1963,21.014583333333334,0.011325000000006469,0.2768333333333333,21.003258333333328
Zambia,C,1964,21.129500000000004,0.1262416666666759,0.2711666666666667,21.003258333333328
Zambia,C,1965,21.042666666666666,0.03940833333333771,0.26675,21.003258333333328
Zambia,C,1943,21.317583333333335,0.3143250000000073,0.2983333333333333,21.003258333333328
Zambia,C,1945,21.084749999999996,0.0814916666666683,0.27175,21.003258333333328
Zambia,C,1932,21.13475,0.13149166666667256,0.4375833333333334,21.003258333333328
Zambia,C,1942,21.55141666666667,0.548158333333344,0.30233333333333334,21.003258333333328
Zambia,C,1930,21.036416666666664,0.03315833333333629,0.5308333333333334,21.003258333333328
Zambia,C,1921,21.206083333333336,0.2028250000000078,0.4589166666666667,21.003258333333328
Zambia,C,1922,21.707583333333332,0.7043250000000043,0.6871666666666666,21.003258333333328
Zambia,C,1923,21.383666666666667,0.3804083333333388,0.7240833333333333,21.003258333333328
Zambia,C,1924,21.345416666666665,0.34215833333333734,0.5621666666666667,21.003258333333328
Zambia,C,1925,20.83725,-0.16600833333332687,0.5608333333333334,21.003258333333328
Zambia,C,1926,21.181833333333334,0.1785750000000057,0.6555833333333333,21.003258333333328
Zambia,C,1927,21.06775,0.06449166666667239,0.59625,21.003258333333328
Zambia,C,1928,21.325499999999998,0.3222416666666703,0.5231666666666667,21.003258333333328
Zambia,C,1929,21.2985,0.29524166666667284,0.5535,21.003258333333328
Zambia,C,1931,21.526500000000002,0.5232416666666744,0.5271666666666668,21.003258333333328
Zambia,C,1941,21.590833333333332,0.5875750000000046,0.36166666666666664,21.003258333333328
Zambia,C,1967,21.249166666666667,0.2459083333333396,0.32625000000000004,21.003258333333328
Zambia,C,1933,21.031166666666664,0.02790833333333609,0.4034166666666666,21.003258333333328
Zambia,C,1934,21.230666666666664,0.22740833333333654,0.46466666666666673,21.003258333333328
